#Time of request completion (in ms after experiment start), Session ID, Time taken to open connection with server (ms), Time taken to receive first byte of reply (ms), Time taken to receive last byte of reply (ms), number of concurrent sessions in the system, size of response (bytes) 
95232.462,75,-1.0,113.2,0.0,82,1909
95280.463,89,61.4,149.4,20.0,82,10972
95237.460,14,-1.0,327.1,0.0,82,2383
95463.470,78,-1.0,231.9,7.7,81,13739
95837.484,90,23.1,115.1,25.3,82,10972
96202.497,76,-1.0,61.6,0.0,82,1909
96316.505,91,24.0,106.8,23.6,83,10972
96628.519,74,-1.0,172.3,6.7,83,11914
97303.551,59,-1.0,251.9,0.0,83,2529
97515.559,69,-1.0,268.2,0.0,83,2679
97468.563,47,-1.0,317.6,0.0,83,2569
99042.633,30,-1.0,227.0,0.0,82,789
99463.651,32,-1.0,62.6,0.0,81,1909
99939.670,81,-1.0,65.5,0.0,81,1909
100189.687,38,-1.0,243.1,0.0,82,2527
100316.690,92,25.7,141.5,7.5,82,10972
100924.717,93,16.2,111.9,6.9,83,10972
101172.728,39,-1.0,230.5,0.0,83,2457
101456.744,5,-1.0,61.6,0.0,82,1909
102084.777,28,-1.0,62.8,0.0,81,1909
102183.780,94,17.1,114.7,7.2,82,10972
102965.815,19,-1.0,170.8,7.0,82,11914
103196.827,95,33.7,151.7,6.4,83,10972
103686.855,17,-1.0,83.8,0.0,83,1909
103663.846,84,-1.0,197.1,7.2,83,11914
103917.858,60,-1.0,86.3,0.0,83,1909
103828.859,34,-1.0,211.5,6.7,83,11914
104601.890,79,-1.0,271.4,18.1,85,11914
104118.868,40,-1.0,762.2,20.0,85,8986
104647.898,96,22.9,239.4,6.6,85,10972
104681.901,97,69.2,229.2,7.0,85,10972
105031.916,15,-1.0,92.4,0.0,85,1416
104985.052,58,-1.0,305.1,7.6,86,13739
105171.917,64,-1.0,248.2,165.1,87,10866
105174.924,67,-1.0,408.7,17.6,87,11914
105366.937,65,-1.0,260.7,24.0,87,10866
105312.926,99,62.1,300.4,25.8,87,10972
105285.926,98,104.9,402.4,17.9,88,10972
104726.907,1,-1.0,1171.2,5.9,88,8999
105771.947,100,58.7,154.3,7.1,88,10972
105398.933,8,-1.0,615.4,0.0,88,785
106061.959,10,-1.0,182.2,17.1,87,13739
106346.975,23,-1.0,253.9,0.0,86,793
106448.976,33,-1.0,209.7,22.8,85,11914
106722.996,46,-1.0,124.7,0.0,85,1909
106720.997,63,-1.0,152.8,0.0,85,1909
106650.992,71,-1.0,276.3,9.6,85,11914
106593.990,51,-1.0,403.1,0.0,85,2528
107512.026,89,-1.0,175.1,6.8,85,11914
108109.054,22,-1.0,231.9,0.0,86,2518
108258.066,101,22.6,121.3,19.1,86,10972
108604.080,102,26.5,107.9,7.2,87,10972
108910.090,12,-1.0,148.7,8.3,87,13689
109367.111,103,23.5,147.5,7.2,88,10972
109867.144,104,33.4,128.4,6.7,89,10972
109808.137,74,-1.0,292.2,0.0,89,785
110022.146,42,-1.0,226.3,22.7,89,10866
110043.147,26,-1.0,256.5,0.0,89,2307
110704.178,78,-1.0,206.4,0.0,90,785
110907.185,105,33.4,101.7,18.8,89,10972
111127.195,55,-1.0,65.8,0.0,89,1909
111527.218,32,-1.0,150.0,7.6,89,13769
111860.230,106,20.3,137.0,6.9,90,10972
111900.229,53,-1.0,212.9,18.1,90,13739
112264.251,88,-1.0,223.1,0.0,90,789
112540.265,107,30.3,102.6,17.8,91,10972
113265.296,76,-1.0,90.6,0.0,91,1513
113464.305,50,-1.0,186.5,20.5,90,11914
113543.311,62,-1.0,272.6,0.0,90,2375
113785.317,69,-1.0,250.8,0.0,90,2380
115033.380,108,57.2,132.3,18.2,90,10972
115006.382,81,-1.0,253.9,20.8,90,13766
114962.379,87,-1.0,356.0,0.0,90,785
117005.470,60,-1.0,157.4,8.5,90,13568
117125.477,15,-1.0,423.0,0.0,90,1083
117324.491,94,-1.0,263.9,0.0,90,789
117795.508,109,35.0,107.2,15.1,92,10972
117933.517,110,37.0,108.6,6.5,92,10972
118148.528,28,-1.0,137.8,7.5,92,13609
118295.531,45,-1.0,189.7,6.9,93,11914
118345.539,111,35.3,175.9,6.6,93,10972
118677.550,13,-1.0,147.1,7.6,93,13719
118848.559,46,-1.0,153.9,18.7,93,13686
119298.578,58,-1.0,237.4,0.0,94,2361
119404.582,112,36.0,136.6,6.5,94,10972
119882.605,113,27.9,112.0,6.9,95,10972
120048.610,34,-1.0,64.0,0.0,95,1909
120556.640,59,-1.0,61.9,0.0,95,1909
121303.673,114,26.9,112.1,6.7,96,10972
121917.699,96,-1.0,230.7,0.0,96,785
122060.715,31,-1.0,193.4,6.8,96,11914
122272.721,42,-1.0,64.6,0.0,96,1909
122341.724,22,-1.0,63.7,0.0,96,1909
122602.730,67,-1.0,63.6,0.0,96,1909
122869.742,84,-1.0,73.3,0.0,96,1909
122902.752,40,-1.0,527.7,0.0,97,2998
123256.763,115,33.8,150.3,7.0,97,10972
123682.781,33,-1.0,66.6,0.0,98,1909
123717.782,116,24.2,128.3,8.4,99,10972
123790.794,117,20.2,151.5,8.2,99,10972
123874.813,63,-1.0,169.8,26.9,99,13532
123905.798,1,-1.0,288.1,0.0,99,785
124390.818,70,-1.0,61.9,0.0,98,1909
124546.825,103,-1.0,185.7,19.1,99,13739
124715.837,118,35.5,112.4,6.6,99,10972
124924.840,119,25.7,103.4,7.3,100,10972
125101.850,74,-1.0,211.6,0.0,100,803
126508.918,120,31.7,121.3,7.0,101,10972
126816.928,62,-1.0,62.2,0.0,101,1909
126889.934,121,30.6,148.4,23.7,103,10972
126998.942,51,-1.0,127.8,0.0,103,1909
126939.940,122,28.0,172.9,20.7,103,10972
127060.951,93,-1.0,228.6,21.6,103,11914
127688.973,123,31.6,111.9,7.1,104,10972
128081.985,85,-1.0,65.3,0.0,104,1909
128281.999,81,-1.0,106.0,11.8,104,10866
128319.002,87,-1.0,111.3,20.8,104,10866
129194.042,55,-1.0,172.1,8.6,104,13695
129145.036,19,-1.0,323.3,0.0,104,785
129503.056,68,-1.0,230.3,0.0,104,2443
130301.095,26,-1.0,73.9,0.0,104,1909
130172.083,60,-1.0,248.4,0.0,104,2400
131772.162,17,-1.0,164.4,7.8,105,13858
131887.169,124,33.8,178.9,11.3,106,10972
131896.175,82,-1.0,264.2,21.0,106,11914
132012.170,125,48.5,151.4,6.5,106,10972
132414.190,126,26.4,162.8,28.2,107,10972
132489.200,88,-1.0,128.4,23.6,107,10866
132585.206,112,-1.0,200.0,25.9,107,13739
133037.219,104,-1.0,296.5,17.4,107,11914
133022.216,46,-1.0,388.1,0.0,107,2496
133030.218,113,-1.0,398.3,0.0,107,785
133589.247,94,-1.0,92.4,6.1,107,10866
133938.262,71,-1.0,63.3,0.0,107,1909
134127.272,127,23.3,113.7,8.6,108,10972
134402.284,128,28.3,111.3,19.3,109,10972
134537.300,58,-1.0,66.4,0.0,109,1909
134765.301,129,25.2,114.6,6.6,110,10972
134989.313,97,-1.0,240.5,0.0,111,785
135045.324,130,35.3,142.3,18.4,111,10972
135406.333,22,-1.0,150.7,7.8,111,13621
135550.336,15,-1.0,67.5,0.0,111,1909
136283.374,131,27.2,154.2,9.7,112,10972
136338.383,42,-1.0,157.5,7.5,112,13608
136692.394,107,-1.0,63.1,0.0,112,1909
136860.433,21,-1.0,137.8,7.8,112,13766
137112.416,132,39.9,135.2,6.6,113,10972
137087.411,110,-1.0,319.4,0.0,113,785
137431.429,40,-1.0,78.7,0.0,114,1909
137412.428,133,28.3,127.1,23.2,114,10972
138242.460,108,-1.0,63.3,0.0,114,1909
139295.512,28,-1.0,219.3,0.0,114,789
139619.530,59,-1.0,166.9,8.0,114,13538
139871.544,118,-1.0,116.0,0.0,115,1909
139818.542,134,22.1,159.2,21.3,115,10972
139893.541,79,-1.0,135.0,0.0,115,1909
139674.539,54,-1.0,400.4,0.0,115,2338
139954.540,109,-1.0,266.1,6.7,114,11914
140493.565,45,-1.0,97.0,0.0,114,1909
140390.565,95,-1.0,212.4,18.2,114,13739
140564.577,111,-1.0,253.8,0.0,114,785
140833.588,13,-1.0,267.7,20.0,114,10866
140752.580,103,-1.0,436.3,0.0,114,2666
140747.586,102,-1.0,443.8,0.0,114,785
140840.588,123,-1.0,426.1,0.0,114,789
141268.605,18,-1.0,154.4,7.7,114,13593
141538.616,37,-1.0,176.9,7.1,114,11914
141703.630,99,-1.0,193.2,7.6,114,13739
142026.638,106,-1.0,193.6,6.9,114,11914
142127.645,51,-1.0,169.8,23.7,114,13620
142695.672,89,-1.0,247.0,0.0,114,2500
142880.689,62,-1.0,172.9,7.8,113,13544
143093.692,121,-1.0,64.1,0.0,113,1909
143427.706,135,22.9,133.7,16.8,114,10972
143375.700,55,-1.0,268.7,0.0,114,2668
143669.717,120,-1.0,185.0,26.4,114,13739
144178.745,136,31.8,115.1,7.1,115,10972
144348.751,75,-1.0,257.1,0.0,115,785
144393.748,16,-1.0,280.0,0.0,114,785
144642.766,88,-1.0,238.1,0.0,113,789
144813.774,98,-1.0,243.7,0.0,112,785
145133.783,53,-1.0,279.3,0.0,112,2673
145219.794,125,-1.0,232.8,18.6,112,13739
145508.800,3,-1.0,230.8,0.0,112,785
145734.811,68,-1.0,67.7,0.0,112,1909
145998.830,137,21.7,137.7,9.1,113,10972
146062.834,119,-1.0,238.6,7.1,113,11914
146111.830,72,-1.0,253.8,25.5,113,13739
146411.848,46,-1.0,65.6,0.0,113,1909
146688.855,94,-1.0,220.4,0.0,113,789
147351.890,104,-1.0,63.4,0.0,113,1909
147421.891,60,-1.0,264.9,0.0,113,2562
147493.896,92,-1.0,251.3,0.0,113,789
148564.948,138,25.6,150.7,9.2,114,10972
148618.948,15,-1.0,169.9,10.0,115,13705
148783.958,139,27.4,122.8,17.1,115,10972
148811.954,112,-1.0,284.8,0.0,115,2588
149230.976,97,-1.0,157.6,22.7,115,10866
149234.975,140,45.9,183.7,26.8,115,10972
149182.971,82,-1.0,336.7,0.0,115,2331
149423.985,86,-1.0,97.7,0.0,115,1909
149475.997,131,-1.0,90.8,0.0,115,1416
149633.999,141,17.8,108.4,7.4,116,10972
150163.020,122,-1.0,178.6,7.8,116,13739
151376.075,26,-1.0,149.7,7.8,116,13836
152276.122,143,44.6,180.5,20.2,118,10972
152268.121,142,32.7,207.7,22.6,118,10972
152166.111,41,-1.0,377.5,0.0,118,789
152470.127,19,-1.0,292.6,0.0,118,762
152511.142,40,-1.0,286.7,7.6,118,13679
153353.166,56,-1.0,239.4,0.0,118,785
153456.179,144,44.4,129.7,6.6,117,10972
153723.193,37,-1.0,79.3,0.0,118,1909
153666.184,145,34.4,132.9,6.7,118,10972
153913.200,129,-1.0,182.7,25.3,118,13739
154263.211,31,-1.0,63.3,0.0,118,1909
154453.222,87,-1.0,214.5,0.0,118,785
154945.248,84,-1.0,150.5,7.7,118,13858
155149.254,85,-1.0,143.9,7.7,117,13836
155462.267,146,18.3,116.6,6.9,118,10972
155562.277,128,-1.0,264.4,0.0,119,785
155797.293,147,33.6,111.6,6.5,119,10972
156069.297,12,-1.0,211.6,0.0,119,785
156408.311,110,-1.0,99.2,23.5,119,10866
156827.329,148,23.2,121.1,7.1,120,10972
157318.360,149,22.3,349.4,10.2,121,10972
157451.360,114,-1.0,282.1,18.2,121,13739
157274.350,127,-1.0,621.3,0.0,121,785
157432.360,18,-1.0,471.7,0.0,121,785
157605.376,58,-1.0,398.2,18.0,121,13742
157622.366,95,-1.0,408.8,0.0,121,2401
158242.395,130,-1.0,180.9,7.6,121,13739
158516.413,28,-1.0,96.9,20.6,122,10866
158604.414,150,36.1,164.4,26.1,123,10972
158739.426,151,32.6,145.5,23.5,123,10972
158687.423,32,-1.0,294.4,0.0,123,2307
159168.442,137,-1.0,216.5,26.4,123,13739
159228.446,106,-1.0,253.8,0.0,123,2342
159553.463,152,17.1,117.5,7.1,123,10972
159797.470,153,23.1,108.1,9.1,124,10972
159910.482,94,-1.0,108.2,22.6,124,10866
160022.480,134,-1.0,182.6,26.1,124,13739
160392.506,72,-1.0,331.8,0.0,124,2536
160423.502,101,-1.0,318.1,19.7,124,11914
160803.522,68,-1.0,217.8,7.6,124,13621
160315.495,74,-1.0,936.8,12.4,124,9037
161309.546,119,-1.0,78.4,0.0,124,1909
161204.539,25,-1.0,242.7,0.0,124,789
161492.552,140,-1.0,254.1,0.0,124,785
161740.566,3,-1.0,116.1,24.4,124,10866
161768.567,141,-1.0,209.9,7.6,124,13739
162412.596,97,-1.0,218.3,0.0,124,785
163003.619,71,-1.0,155.6,7.6,123,13686
163347.638,154,32.9,131.6,7.9,124,10972
163430.641,113,-1.0,115.4,6.1,124,10866
163635.652,155,35.0,169.0,21.6,126,10972
163592.647,45,-1.0,281.1,0.0,126,785
163741.653,156,29.3,155.3,24.8,126,10972
164313.682,93,-1.0,73.4,0.0,126,1909
164334.681,136,-1.0,192.8,7.6,126,13739
164978.710,157,31.9,118.4,22.0,127,10972
165436.733,38,-1.0,62.8,0.0,127,1909
166673.793,50,-1.0,242.3,0.0,127,2546
166841.808,145,-1.0,190.6,6.8,127,11914
167042.807,158,17.8,112.4,12.1,128,10972
167150.817,96,-1.0,124.6,6.2,128,10866
167192.813,102,-1.0,264.6,0.0,128,803
167327.819,31,-1.0,182.0,21.5,128,13637
167520.829,82,-1.0,66.7,0.0,128,1909
168668.886,67,-1.0,152.5,7.7,128,13652
169700.933,149,-1.0,288.3,0.0,129,785
169845.952,159,34.6,173.2,17.3,129,10972
169882.947,120,-1.0,374.7,0.0,129,2598
170279.963,160,20.6,132.9,17.4,129,10972
169763.933,19,-1.0,868.2,5.2,130,8986
170563.976,161,26.6,129.4,7.0,130,10972
170752.983,114,-1.0,269.0,0.0,130,785
171030.992,79,-1.0,237.4,0.0,129,785
171567.020,22,-1.0,229.2,0.0,128,2456
171950.037,147,-1.0,180.5,6.8,128,11914
172150.050,162,30.5,110.9,6.9,129,10972
172302.052,85,-1.0,264.0,0.0,129,785
172412.066,137,-1.0,274.7,0.0,129,2635
172634.076,163,66.6,144.5,6.8,129,10972
172635.077,28,-1.0,269.8,0.0,129,789
172939.084,153,-1.0,199.2,8.1,128,13739
173023.090,58,-1.0,271.8,0.0,128,2628
173229.097,109,-1.0,76.0,0.0,128,1909
173415.109,53,-1.0,65.2,0.0,127,1909
173688.118,60,-1.0,70.7,0.0,127,1909
173832.124,150,-1.0,62.7,0.0,127,1416
173725.119,72,-1.0,265.9,0.0,127,785
174431.163,164,19.5,116.7,6.7,127,10972
